permission_code,policy_code,status,version
auth:permission:create,admin,1,1
auth:permission:update,admin,1,1
auth:permission:delete,admin,1,1
auth:permission:get,admin,1,1
auth:role:create,admin,1,1
auth:role:update,admin,1,1
auth:role:delete,admin,1,1
auth:role:get,admin,1,1
auth:role:grant_permission,admin,1,1
auth:role:revoke_permission,admin,1,1
auth:role:get_permissions,admin,1,1
auth:user:assign_role,admin,1,1
auth:user:remove_role,admin,1,1
auth:user:get_roles,admin,1,1
auth:user_group:create,admin,1,1
auth:user_group:update,admin,1,1
auth:user_group:delete,admin,1,1
auth:user_group:get,admin,1,1
auth:user_group:members:get,admin,1,1
auth:user_group:roles:get,admin,1,1
auth:user_group:assign_role,admin,1,1
auth:user_group:remove_role,admin,1,1
auth:user_group:permissions:get,admin,1,1
auth:user:assign_group,admin,1,1
auth:user:remove_group,admin,1,1
auth:user:groups:get,admin,1,1
auth:user:permissions:get,admin,1,1
auth:user:has_permission,admin,1,1
auth:user:can_access,admin,1,1
auth:roles:list,admin,1,1
auth:user_groups:list,admin,1,1
auth:permissions:list,admin,1,1
auth:token:issue,admin,1,1
auth:token:refresh,admin,1,1
auth:token:verify,admin,1,1
auth:policy:create,admin,1,1
auth:policy:update,admin,1,1
auth:policy:delete,admin,1,1
auth:policy:get,admin,1,1
auth:policies:list,admin,1,1
auth:policy_rule:create,admin,1,1
auth:policy_rule:update,admin,1,1
auth:policy_rule:delete,admin,1,1
auth:policy_rule:get,admin,1,1
auth:policy_rules:list,admin,1,1
auth:permission:policies:get,admin,1,1
auth:permission:attach_policy,admin,1,1
auth:permission:detach_policy,admin,1,1
