Role Code,Permission Code,Status,Version
admin,auth:permission:create,1,1
admin,auth:permission:update,1,1
admin,auth:permission:delete,1,1
admin,auth:permission:get,1,1
admin,auth:role:create,1,1
admin,auth:role:update,1,1
admin,auth:role:delete,1,1
admin,auth:role:get,1,1
admin,auth:role:grant_permission,1,1
admin,auth:role:revoke_permission,1,1
admin,auth:role:get_permissions,1,1
admin,auth:user:assign_role,1,1
admin,auth:user:remove_role,1,1
admin,auth:user:get_roles,1,1
admin,auth:user_group:create,1,1
admin,auth:user_group:update,1,1
admin,auth:user_group:delete,1,1
admin,auth:user_group:get,1,1
admin,auth:user_group:members:get,1,1
admin,auth:user_group:roles:get,1,1
admin,auth:user_group:assign_role,1,1
admin,auth:user_group:remove_role,1,1
admin,auth:user_group:permissions:get,1,1
admin,auth:user:assign_group,1,1
admin,auth:user:remove_group,1,1
admin,auth:user:groups:get,1,1
admin,auth:user:permissions:get,1,1
admin,auth:user:has_permission,1,1
admin,auth:user:can_access,1,1
admin,auth:roles:list,1,1
admin,auth:user_groups:list,1,1
admin,auth:permissions:list,1,1
admin,auth:token:issue,1,1
admin,auth:token:refresh,1,1
admin,auth:token:verify,1,1
admin,auth:policy:create,1,1
admin,auth:policy:update,1,1
admin,auth:policy:delete,1,1
admin,auth:policy:get,1,1
admin,auth:policies:list,1,1
admin,auth:policy_rule:create,1,1
admin,auth:policy_rule:update,1,1
admin,auth:policy_rule:delete,1,1
admin,auth:policy_rule:get,1,1
admin,auth:policy_rules:list,1,1
admin,auth:permission:policies:get,1,1
admin,auth:permission:attach_policy,1,1
admin,auth:permission:detach_policy,1,1
