permission_code,policy_code,status,version
user:password:change,user:self,1,1
user:password:reset,user:self,1,1
user:bind:email:start,user:self,1,1
user:bind:email:complete,user:self,1,1
user:change:email:start,user:self,1,1
user:change:email:verify,user:self,1,1
user:change:email:complete,user:self,1,1
user:bind:phone:start,user:self,1,1
user:bind:phone:complete,user:self,1,1
user:change:phone:start,user:self,1,1
user:change:phone:verify,user:self,1,1
user:change:phone:complete,user:self,1,1
user:profile:view,user:self,1,1
user:admin:deactivate:start,user:self,1,1
user:admin:deactivate,user:self,1,1
user:admin:reactivate:start,user:self,1,1
user:admin:reactivate,user:self,1,1
user:admin:delete:start,user:self,1,1
user:admin:delete,user:self,1,1
user:profile:view,admin,1,1
user:profile:update,admin,1,1
user:admin:deactivate:start,admin,1,1
user:admin:deactivate,admin,1,1
user:admin:reactivate:start,admin,1,1
