code,name,description,resource,method,status,need_policy,version
user:register,用户注册,允许用户注册新账号,xservergo.user,Register,1,0,1
user:login:email,邮箱登录,允许用户通过邮箱和密码登录,xservergo.user,EmailLogin,1,0,1
user:login:phone,手机号登录,允许用户通过手机号和密码登录,xservergo.user,PhoneLogin,1,0,1
user:login:account,账号登录,允许用户通过账号和密码登录,xservergo.user,AccountLogin,1,0,1
user:login:sms,短信验证码登录,允许用户通过短信验证码登录,xservergo.user,SmsLogin,1,0,1
user:login:qr:generate,生成登录二维码,允许生成登录二维码,xservergo.user,GenerateQrCode,1,0,1
user:login:qr:pre_status,预查询扫码登录状态,允许预查询二维码登录状态,xservergo.user,QrCodePreLoginStatus,1,0,1
user:login:qr:status,轮询扫码登录状态,允许长轮询二维码登录状态,xservergo.user,QrCodeLoginStatus,1,0,1
user:login:qr:pre,二维码预登录,允许二维码预登录操作,xservergo.user,QrPreLogin,1,0,1
user:login:qr:confirm,确认扫码登录,允许确认扫码登录,xservergo.user,ConfirmQrLogin,1,0,1
user:login:qr:cancel,取消扫码登录,允许取消扫码登录,xservergo.user,CancelQrLogin,1,0,1
user:login:oauth,第三方登录,允许通过第三方授权登录,xservergo.user,OAuthLogin,1,0,1
user:logout,登出,允许用户登出,xservergo.user,Logout,1,0,1
user:password:change,修改密码,允许用户修改密码,xservergo.user,ChangePassword,1,1,1
user:password:forgot,忘记密码,允许发起忘记密码流程,xservergo.user,ForgotPassword,1,0,1
user:password:reset,重置密码,允许重置用户密码,xservergo.user,ResetPassword,1,1,1
user:bind:email:start,预绑定邮箱,允许发起邮箱绑定流程,xservergo.user,StartBindEmail,1,1,1
user:bind:email:complete,完成绑定邮箱,允许完成邮箱绑定,xservergo.user,CompleteBindEmail,1,1,1
user:change:email:start,预换绑邮箱,允许发起邮箱换绑流程,xservergo.user,StartChangeEmail,1,1,1
user:change:email:verify,验证新邮箱,允许验证新邮箱,xservergo.user,VerifyNewEmail,1,1,1
user:change:email:complete,完成换绑邮箱,允许完成邮箱换绑,xservergo.user,CompleteChangeEmail,1,1,1
user:bind:phone:start,预绑定手机,允许发起手机绑定流程,xservergo.user,StartBindPhone,1,1,1
user:bind:phone:complete,完成绑定手机,允许完成手机绑定,xservergo.user,CompleteBindPhone,1,1,1
user:change:phone:start,预换绑手机,允许发起手机换绑流程,xservergo.user,StartChangePhone,1,1,1
user:change:phone:verify,验证新手机号,允许验证新手机号,xservergo.user,VerifyNewPhone,1,1,1
user:change:phone:complete,完成换绑手机,允许完成手机换绑,xservergo.user,CompleteChangePhone,1,1,1
user:profile:view,获取用户信息,允许根据ID获取用户信息,xservergo.user,GetUserInfoById,1,1,1
user:profile:view:by_others,根据条件获取用户信息,允许通过用户名/邮箱/手机号获取用户信息,xservergo.user,GetUserInfoByOthers,1,0,1
user:profile:update,更新用户信息,允许更新用户信息,xservergo.user,UpdateUserInfo,1,1,1
user:list:view,用户列表,允许查看用户列表,xservergo.user,ListUsers,1,0,1
user:search:nickname,按昵称搜索用户,允许按昵称搜索用户,xservergo.user,SearchUserByUsername,1,0,1
user:admin:deactivate:start,预冻结用户,允许预冻结用户,xservergo.user,StartDeactivateUser,1,1,1
user:admin:deactivate,冻结用户,允许冻结用户,xservergo.user,DeactivateUser,1,1,1
user:admin:reactivate:start,预解冻用户,允许预备解冻用户,xservergo.user,StartReactiveUser,1,1,1
user:admin:reactivate,解冻用户,允许解冻用户,xservergo.user,ReactivateUser,1,1,1
user:admin:delete:start,预删除用户,允许预删除用户,xservergo.user,StartDeleteUser,1,1,1
user:admin:delete,删除用户,允许删除用户,xservergo.user,DeleteUser,1,1,1
user:version:add,递增版本号,允许递增版本号,xservergo.user,AddVersion,1,0,1
