Role Code,Permission Code,Status,Version
visitor,user:register,1,1
visitor,user:login:email,1,1
visitor,user:login:phone,1,1
visitor,user:login:account,1,1
visitor,user:login:sms,1,1
visitor,user:login:qr:generate,1,1
visitor,user:login:qr:pre_status,1,1
visitor,user:login:qr:status,1,1
visitor,user:login:qr:pre,1,1
user,user:login:qr:confirm,1,1
visitor,user:login:qr:cancel,1,1
visitor,user:login:oauth,1,1
user,user:logout,1,1
user,user:password:change,1,1
user,user:password:forgot,1,1
user,user:password:reset,1,1
user,user:bind:email:start,1,1
user,user:bind:email:complete,1,1
user,user:change:email:start,1,1
user,user:change:email:verify,1,1
user,user:change:email:complete,1,1
user,user:bind:phone:start,1,1
user,user:bind:phone:complete,1,1
user,user:change:phone:start,1,1
user,user:change:phone:verify,1,1
user,user:change:phone:complete,1,1
user,user:profile:view,1,1
user,user:profile:view:by_others,1,1
user,user:profile:update,1,1
user,user:list:view,1,1
user,user:search:nickname,1,1
user,user:admin:deactivate:start,1,1
user,user:admin:deactivate,1,1
user,user:admin:reactivate:start,1,1
user,user:admin:reactivate,1,1
user,user:admin:delete:start,1,1
user,user:admin:delete,1,1
user,user:version:add,1,1
